author,description,publisher,source_url,timeStamp,title
600,Phillip Molnar,"A British real estate company Monday launched a flat fee home listing service in San Diego County, charging sellers $3,200 to list a home. The cost is likely cheaper for most sellers who are used to a 2.5 percent listing fee, so the offer could save sellers h…",Sandiegouniontribune.com,http://www.sandiegouniontribune.com/business/real-estate/sd-fi-purplebricks-launch-20180108-story.html,2018-01-09 00:00:00,"Purplebricks, flat fee real estate listers, launch in San Diego"
601,Ml-implode.com,"``In parts of the continent - especially commercial hubs like Lagos, Nairobi and Johannesburg - a small but growing number of people are finding that cryptocurrencies offer a cheaper solution to an expensive problem - transferring funds across borders.''",Ml-implode.com,http://ml-implode.com/staticnews/2018-01-09_WhyAfricanmillennialscantgetenoughofBitcoin.html,2018-01-09 00:00:00,Why African millennials can't get enough of Bitcoin
602,"Associated Press, By Associated Press","NEW YORK — Kodak, which traces its roots to the early days of film-based photography, is getting into the digital licensing and cryptocurrency market as part of a partnership with WENN Digital. The companies are launching blockchain technology with KodakOne a…",Bostonherald.com,http://www.bostonherald.com/news/national/2018/01/kodak_surges_at_it_becomes_latest_cryptocurrency_convert,2018-01-09 00:00:00,Kodak surges at it becomes latest 'cryptocurrency' convert
603,Ml-implode.com,``JPMorgan Chase CEO Jamie Dimon has walked back his criticism of bitcoin and said it's underlying technology could be useful for financial markets.'',Ml-implode.com,http://ml-implode.com/staticnews/2018-01-09_DimonIregretcallingbitcoinafraud.html,2018-01-09 00:00:00,"Dimon: ""I regret calling bitcoin a fraud"""
604,Ml-implode.com,"``Staff at the regulatory agency ""expressed concerns regarding the liquidity and valuation"" of futures contracts based on the digital asset, according to one of the filings... Fund managers thought the proposals had a chance at winning approval given the laun…",Ml-implode.com,http://ml-implode.com/staticnews/2018-01-09_FundmanagerssaybitcoinETFproposalswithdrawnduetoSECconcerns.html,2018-01-09 00:00:00,Fund managers say bitcoin ETF proposals withdrawn due to SEC concerns
605,Ml-implode.com,"``People are pouring money into bitcoin and other cryptocurrencies because they are more willing to take risks in a benign economic environment, according to a fund manager.'' -- That's one read (and one we're not so sure of). Another is that people are more …",Ml-implode.com,http://ml-implode.com/staticnews/2018-01-09_Bitcoinfascinatingbecauseperceptionofriskandtheeconomyischanging.html,2018-01-09 00:00:00,"Bitcoin ‘fascinating' because perception of risk and the economy is changing, fund manager says"
606,itokoichi,https://smhn.info/201801-microsoft-stop-pay-with-bitcoin,Hatena.ne.jp,http://d.hatena.ne.jp/itokoichi/20180109/p1,2018-01-09 00:00:00,マイクロソフト、Bitcoin決済をやめる – すまほん!!
607,Yahoo.com,"Jim Cramer gauged the speculative potential of the cannabis, cryptocurrency and chipmaking markets for individual investors.",Yahoo.com,https://finance.yahoo.com/video/cramer-marijuana-bitcoin-micron-speculative-235200587.html,2018-01-08 23:52:00,"Cramer: Marijuana, bitcoin and Micron are all speculative..."
608,The Star Online,Check out these exclusives in your newspaper today.,Thestar.com.my,http://www.thestar.com.my/news/nation/2018/01/09/whats-in-your-copy-jan9/,2018-01-08 23:47:27,What's in your copy of The Star today? (Nov 9)
609,kodiak1120,"This is a simple box that is designed to hold a piece of 2"" x 3.5"" x 0.063"" titanium plate.  The titanium plate is designed to hold 24 seed words, which can be used to restore a cryptocurrency software or hardware wallet, for bitcoin, litecoin, etherium, etc.…",Thingiverse.com,https://www.thingiverse.com/thing:2750839,2018-01-08 23:40:46,Crypto Seed Word Storage
